sku_id,category,subcategory,on_hand_units,on_order_units,available_stock,lead_time_days,lead_time_demand,safety_stock,reorder_level,stockout_gap_units,overstock_excess_units,stockout_risk_score,overstock_risk_score,cumulative_forecast_demand,weekly_forecast,action,action_rationale,sales_at_risk_inr,capital_locked_inr,unit_price,unit_cost
NB-HOM-CUS-011,Home Decor,Cushions,976,185,1161,35,141.9,55.4,197.3,0.0,765.3,0.0,1.0,226.9,"[28.37, 28.37, 28.37, 28.37, 28.37, 28.33, 28.33, 28.33]",MARKDOWN / CLEAR,"Current stock (1161) exceeds 12-week demand (340). ₹2,330,234 working capital locked in 765 excess units.",0.0,2330234.15,7357.38,3044.81
NB-HOM-CUS-012,Home Decor,Cushions,674,128,802,7,27.0,26.1,53.1,0.0,453.1,0.0,1.0,215.2,"[26.99, 26.99, 26.99, 26.87, 26.87, 26.83, 26.83, 26.83]",MARKDOWN / CLEAR,"Current stock (802) exceeds 12-week demand (322). ₹209,074 working capital locked in 453 excess units.",0.0,209074.45,1263.67,461.42
NB-HOM-VAS-001,Home Decor,Vases,7,1,8,21,83.1,41.1,124.2,116.2,0.0,0.9356,0.0,221.4,"[27.69, 27.69, 27.69, 27.69, 27.69, 27.64, 27.64, 27.64]",REORDER NOW,Projected available stock (8) is below reorder level (124) across 21d lead time. Gap of 116 units.,600203.33,0.0,5166.89,2838.76
NB-HOM-VAS-002,Home Decor,Vases,217,108,325,21,82.0,51.2,133.2,0.0,0.0,0.0,0.0,218.4,"[27.35, 27.35, 27.35, 27.35, 27.35, 27.21, 27.21, 27.21]",HEALTHY,Inventory (325) covers lead-time demand (82) with adequate safety buffer (51).,0.0,0.0,3924.1,2195.64
NB-HOM-VAS-003,Home Decor,Vases,18,3,21,28,109.3,48.0,157.3,136.3,0.0,0.8665,0.0,217.8,"[27.35, 27.35, 27.35, 27.23, 27.23, 27.1, 27.1, 27.1]",REORDER NOW,Projected available stock (21) is below reorder level (157) across 28d lead time. Gap of 136 units.,475029.32,0.0,3485.9,1742.56
NB-HOM-WAL-004,Home Decor,Wall Art,17,4,21,28,110.7,51.0,161.7,140.7,0.0,0.8701,0.0,220.9,"[27.7, 27.7, 27.7, 27.58, 27.58, 27.54, 27.54, 27.54]",REORDER NOW,Projected available stock (21) is below reorder level (161) across 28d lead time. Gap of 140 units.,583120.44,0.0,4145.0,2551.24
NB-HOM-WAL-005,Home Decor,Wall Art,171,85,256,28,113.5,54.2,167.7,0.0,0.0,0.0,0.0,227.5,"[28.42, 28.5, 28.31, 28.31, 28.31, 28.56, 28.56, 28.56]",HEALTHY,Inventory (256) covers lead-time demand (113) with adequate safety buffer (54).,0.0,0.0,7078.74,2596.5
NB-HOM-WAL-006,Home Decor,Wall Art,6,1,7,28,109.3,52.6,161.9,154.9,0.0,0.9568,0.0,219.6,"[27.11, 27.39, 27.39, 27.39, 27.39, 27.64, 27.64, 27.64]",REORDER NOW,Projected available stock (7) is below reorder level (161) across 28d lead time. Gap of 154 units.,237052.01,0.0,1530.56,840.93
NB-KIT-CUT-029,Kitchen & Dining,Cutlery,447,82,529,28,109.9,57.5,167.4,0.0,141.9,0.0,0.4307,219.7,"[27.48, 27.48, 27.48, 27.48, 27.48, 27.44, 27.44, 27.44]",HEALTHY,Inventory (529) covers lead-time demand (109) with adequate safety buffer (57).,0.0,188139.69,2221.76,1325.42
NB-KIT-CUT-030,Kitchen & Dining,Cutlery,90,45,135,28,108.9,45.1,154.0,19.0,0.0,0.1236,0.0,218.4,"[27.2, 27.29, 27.29, 27.17, 27.17, 27.42, 27.42, 27.42]",HEALTHY,Inventory (135) covers lead-time demand (108) with adequate safety buffer (45).,110721.12,0.0,5814.79,2423.73
NB-KIT-DIN-025,Kitchen & Dining,Dinnerware,450,81,531,28,109.2,51.6,160.8,0.0,151.6,0.0,0.4626,218.5,"[27.16, 27.35, 27.35, 27.35, 27.35, 27.31, 27.31, 27.31]",HEALTHY,Inventory (531) covers lead-time demand (109) with adequate safety buffer (51).,0.0,232514.07,2993.4,1533.36
NB-KIT-DIN-026,Kitchen & Dining,Dinnerware,171,85,256,21,82.9,49.9,132.8,0.0,0.0,0.0,0.0,221.6,"[27.51, 27.71, 27.71, 27.59, 27.59, 27.84, 27.84, 27.84]",HEALTHY,Inventory (256) covers lead-time demand (82) with adequate safety buffer (49).,0.0,0.0,7100.48,2900.25
NB-KIT-GLA-027,Kitchen & Dining,Glassware,10,4,14,7,27.0,22.6,49.6,35.6,0.0,0.718,0.0,217.9,"[27.05, 27.25, 27.25, 27.13, 27.13, 27.37, 27.37, 27.37]",REORDER NOW,Projected available stock (14) is below reorder level (49) across 7d lead time. Gap of 35 units.,233780.58,0.0,6558.08,2818.07
NB-KIT-GLA-028,Kitchen & Dining,Glassware,228,114,342,7,28.5,24.9,53.4,0.0,0.0,0.0,0.0,227.3,"[28.5, 28.5, 28.5, 28.39, 28.39, 28.34, 28.34, 28.34]",HEALTHY,Inventory (342) covers lead-time demand (28) with adequate safety buffer (24).,0.0,0.0,8446.03,3223.62
NB-KIT-TAB-031,Kitchen & Dining,Table Linen,26,1,27,35,139.5,56.2,195.7,168.7,0.0,0.862,0.0,223.2,"[27.74, 27.94, 27.94, 27.94, 27.94, 27.9, 27.9, 27.9]",REORDER NOW,Projected available stock (27) is below reorder level (195) across 35d lead time. Gap of 168 units.,1043887.54,0.0,6187.49,2322.06
NB-KIT-TAB-032,Kitchen & Dining,Table Linen,3,2,5,7,28.3,24.6,52.9,47.9,0.0,0.9056,0.0,225.8,"[28.34, 28.34, 28.34, 28.23, 28.23, 28.09, 28.09, 28.09]",REORDER NOW,Projected available stock (5) is below reorder level (52) across 7d lead time. Gap of 47 units.,427880.12,0.0,8924.68,3408.06
