sku_id,horizon_week,forecast_units
NB-BED-DUV-018,7,26.74
NB-BED-DUV-018,8,26.74
NB-BED-PIL-019,1,27.61
NB-BED-PIL-019,2,27.61
NB-BED-PIL-019,3,27.61
NB-BED-PIL-019,4,27.5
NB-BED-PIL-019,5,27.5
NB-BED-PIL-019,6,27.74
NB-BED-PIL-019,7,27.74
NB-BED-PIL-019,8,27.74
NB-BED-PIL-020,1,27.06
NB-BED-PIL-020,2,27.26
NB-BED-PIL-020,3,27.26
NB-BED-PIL-020,4,27.14
NB-BED-PIL-020,5,27.14
NB-BED-PIL-020,6,27.39
NB-BED-PIL-020,7,27.39
NB-BED-PIL-020,8,27.39
NB-BED-PIL-021,1,28.32
NB-BED-PIL-021,2,28.32
NB-BED-PIL-021,3,28.32
NB-BED-PIL-021,4,28.21
NB-BED-PIL-021,5,28.21
NB-BED-PIL-021,6,28.16
NB-BED-PIL-021,7,28.16
NB-BED-PIL-021,8,28.16
NB-HOM-CAN-007,1,27.81
NB-HOM-CAN-007,2,28.1
NB-HOM-CAN-007,3,28.1
NB-HOM-CAN-007,4,27.98
NB-HOM-CAN-007,5,27.98
NB-HOM-CAN-007,6,27.94
NB-HOM-CAN-007,7,27.94
NB-HOM-CAN-007,8,27.94
NB-HOM-CAN-008,1,27.52
NB-HOM-CAN-008,2,27.81
NB-HOM-CAN-008,3,27.81
NB-HOM-CAN-008,4,27.69
NB-HOM-CAN-008,5,27.69
NB-HOM-CAN-008,6,27.94
NB-HOM-CAN-008,7,27.94
NB-HOM-CAN-008,8,27.94
NB-HOM-CAN-009,1,26.69
NB-HOM-CAN-009,2,26.69
NB-HOM-CAN-009,3,26.69
NB-HOM-CAN-009,4,26.69
NB-HOM-CAN-009,5,26.69
NB-HOM-CAN-009,6,26.65
NB-HOM-CAN-009,7,26.65
NB-HOM-CAN-009,8,26.65
NB-HOM-CUS-010,1,27.32
NB-HOM-CUS-010,2,27.32
NB-HOM-CUS-010,3,27.32
NB-HOM-CUS-010,4,27.2
NB-HOM-CUS-010,5,27.2
NB-HOM-CUS-010,6,27.16
NB-HOM-CUS-010,7,27.16
NB-HOM-CUS-010,8,27.16
NB-HOM-CUS-011,1,28.37
NB-HOM-CUS-011,2,28.37
NB-HOM-CUS-011,3,28.37
NB-HOM-CUS-011,4,28.37
NB-HOM-CUS-011,5,28.37
NB-HOM-CUS-011,6,28.33
NB-HOM-CUS-011,7,28.33
NB-HOM-CUS-011,8,28.33
NB-HOM-CUS-012,1,26.99
NB-HOM-CUS-012,2,26.99
NB-HOM-CUS-012,3,26.99
NB-HOM-CUS-012,4,26.87
NB-HOM-CUS-012,5,26.87
NB-HOM-CUS-012,6,26.83
NB-HOM-CUS-012,7,26.83
NB-HOM-CUS-012,8,26.83
NB-HOM-VAS-001,1,27.69
NB-HOM-VAS-001,2,27.69
NB-HOM-VAS-001,3,27.69
NB-HOM-VAS-001,4,27.69
NB-HOM-VAS-001,5,27.69
NB-HOM-VAS-001,6,27.64
NB-HOM-VAS-001,7,27.64
NB-HOM-VAS-001,8,27.64
NB-HOM-VAS-002,1,27.35
NB-HOM-VAS-002,2,27.35
NB-HOM-VAS-002,3,27.35
NB-HOM-VAS-002,4,27.35
NB-HOM-VAS-002,5,27.35
NB-HOM-VAS-002,6,27.21
NB-HOM-VAS-002,7,27.21
NB-HOM-VAS-002,8,27.21
NB-HOM-VAS-003,1,27.35
NB-HOM-VAS-003,2,27.35
NB-HOM-VAS-003,3,27.35
NB-HOM-VAS-003,4,27.23
NB-HOM-VAS-003,5,27.23
NB-HOM-VAS-003,6,27.1
NB-HOM-VAS-003,7,27.1
NB-HOM-VAS-003,8,27.1
NB-HOM-WAL-004,1,27.7
NB-HOM-WAL-004,2,27.7
NB-HOM-WAL-004,3,27.7
NB-HOM-WAL-004,4,27.58
NB-HOM-WAL-004,5,27.58
NB-HOM-WAL-004,6,27.54
NB-HOM-WAL-004,7,27.54
NB-HOM-WAL-004,8,27.54
NB-HOM-WAL-005,1,28.42
NB-HOM-WAL-005,2,28.5
NB-HOM-WAL-005,3,28.31
NB-HOM-WAL-005,4,28.31
NB-HOM-WAL-005,5,28.31
NB-HOM-WAL-005,6,28.56
NB-HOM-WAL-005,7,28.56
NB-HOM-WAL-005,8,28.56
NB-HOM-WAL-006,1,27.11
NB-HOM-WAL-006,2,27.39
NB-HOM-WAL-006,3,27.39
NB-HOM-WAL-006,4,27.39
NB-HOM-WAL-006,5,27.39
NB-HOM-WAL-006,6,27.64
NB-HOM-WAL-006,7,27.64
NB-HOM-WAL-006,8,27.64
NB-KIT-CUT-029,1,27.48
NB-KIT-CUT-029,2,27.48
NB-KIT-CUT-029,3,27.48
NB-KIT-CUT-029,4,27.48
NB-KIT-CUT-029,5,27.48
NB-KIT-CUT-029,6,27.44
NB-KIT-CUT-029,7,27.44
NB-KIT-CUT-029,8,27.44
NB-KIT-CUT-030,1,27.2
NB-KIT-CUT-030,2,27.29
NB-KIT-CUT-030,3,27.29
NB-KIT-CUT-030,4,27.17
NB-KIT-CUT-030,5,27.17
NB-KIT-CUT-030,6,27.42
NB-KIT-CUT-030,7,27.42
NB-KIT-CUT-030,8,27.42
NB-KIT-DIN-025,1,27.16
NB-KIT-DIN-025,2,27.35
NB-KIT-DIN-025,3,27.35
NB-KIT-DIN-025,4,27.35
NB-KIT-DIN-025,5,27.35
NB-KIT-DIN-025,6,27.31
NB-KIT-DIN-025,7,27.31
NB-KIT-DIN-025,8,27.31
NB-KIT-DIN-026,1,27.51
NB-KIT-DIN-026,2,27.71
NB-KIT-DIN-026,3,27.71
NB-KIT-DIN-026,4,27.59
NB-KIT-DIN-026,5,27.59
NB-KIT-DIN-026,6,27.84
NB-KIT-DIN-026,7,27.84
NB-KIT-DIN-026,8,27.84
NB-KIT-GLA-027,1,27.05
NB-KIT-GLA-027,2,27.25
NB-KIT-GLA-027,3,27.25
NB-KIT-GLA-027,4,27.13
NB-KIT-GLA-027,5,27.13
NB-KIT-GLA-027,6,27.37
NB-KIT-GLA-027,7,27.37
NB-KIT-GLA-027,8,27.37
NB-KIT-GLA-028,1,28.5
NB-KIT-GLA-028,2,28.5
NB-KIT-GLA-028,3,28.5
NB-KIT-GLA-028,4,28.39
NB-KIT-GLA-028,5,28.39
NB-KIT-GLA-028,6,28.34
NB-KIT-GLA-028,7,28.34
NB-KIT-GLA-028,8,28.34
NB-KIT-TAB-031,1,27.74
NB-KIT-TAB-031,2,27.94
NB-KIT-TAB-031,3,27.94
NB-KIT-TAB-031,4,27.94
NB-KIT-TAB-031,5,27.94
NB-KIT-TAB-031,6,27.9
NB-KIT-TAB-031,7,27.9
NB-KIT-TAB-031,8,27.9
NB-KIT-TAB-032,1,28.34
NB-KIT-TAB-032,2,28.34
NB-KIT-TAB-032,3,28.34
NB-KIT-TAB-032,4,28.23
NB-KIT-TAB-032,5,28.23
NB-KIT-TAB-032,6,28.09
NB-KIT-TAB-032,7,28.09
NB-KIT-TAB-032,8,28.09
