date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-02-02,NB-BED-DUV-016,8,6398.24,799.78,1
2024-02-02,NB-BED-PIL-020,3,15617.88,5205.96,0
2024-02-02,NB-KIT-CUT-029,5,9272.6,1854.52,1
2024-02-02,NB-BAT-TOW-033,6,27788.94,4631.49,1
2024-02-02,NB-BAT-ROB-040,2,16813.94,8406.97,0
2024-02-03,NB-HOM-WAL-005,13,92023.62,7078.74,0
2024-02-03,NB-HOM-CAN-009,8,29965.52,3745.69,1
2024-02-03,NB-BED-DUV-016,5,4867.8,973.56,0
2024-02-03,NB-BED-PIL-020,15,66256.05,4417.07,1
2024-02-03,NB-KIT-CUT-029,4,8887.04,2221.76,0
2024-02-03,NB-BAT-TOW-033,9,47138.04,5237.56,0
2024-02-03,NB-BAT-ROB-040,9,75662.73,8406.97,0
2024-02-04,NB-HOM-WAL-005,4,28314.96,7078.74,0
2024-02-04,NB-HOM-CAN-009,4,17614.76,4403.69,0
2024-02-04,NB-BED-DUV-016,11,9274.65,843.15,1
2024-02-04,NB-BED-PIL-020,3,15617.88,5205.96,0
2024-02-04,NB-KIT-CUT-029,16,26757.76,1672.36,1
2024-02-04,NB-BAT-TOW-033,4,20950.24,5237.56,0
2024-02-04,NB-BAT-ROB-040,6,50441.82,8406.97,0
2024-02-05,NB-HOM-WAL-005,7,49551.18,7078.74,0
2024-02-05,NB-HOM-CAN-009,0,0.0,4403.69,0
2024-02-05,NB-BED-DUV-016,7,6814.92,973.56,0
2024-02-05,NB-BED-PIL-020,10,52059.6,5205.96,0
2024-02-05,NB-KIT-CUT-029,4,8887.04,2221.76,0
2024-02-05,NB-BAT-TOW-033,8,41900.48,5237.56,0
2024-02-05,NB-BAT-ROB-040,4,33627.88,8406.97,0
2024-02-06,NB-HOM-WAL-005,4,28314.96,7078.74,0
2024-02-06,NB-HOM-CAN-009,0,0.0,4403.69,0
2024-02-06,NB-BED-DUV-016,6,5841.36,973.56,0
2024-02-06,NB-BED-PIL-020,8,41647.68,5205.96,0
2024-02-06,NB-KIT-CUT-029,2,4443.52,2221.76,0
2024-02-06,NB-BAT-TOW-033,2,10475.12,5237.56,0
2024-02-06,NB-BAT-ROB-040,3,25220.91,8406.97,0
2024-02-07,NB-HOM-WAL-005,4,28314.96,7078.74,0
2024-02-07,NB-HOM-CAN-009,2,8807.38,4403.69,0
2024-02-07,NB-BED-DUV-016,4,3894.24,973.56,0
2024-02-07,NB-BED-PIL-020,10,52059.6,5205.96,0
2024-02-07,NB-KIT-CUT-029,3,6665.28,2221.76,0
2024-02-07,NB-BAT-TOW-033,4,20950.24,5237.56,0
2024-02-07,NB-BAT-ROB-040,13,97844.89,7526.53,1
2024-02-08,NB-HOM-WAL-005,5,35393.7,7078.74,0
2024-02-08,NB-HOM-CAN-009,6,26422.14,4403.69,0
2024-02-08,NB-BED-DUV-016,12,10314.36,859.53,1
2024-02-08,NB-BED-PIL-020,2,10411.92,5205.96,0
2024-02-08,NB-KIT-CUT-029,4,8887.04,2221.76,0
2024-02-08,NB-BAT-TOW-033,8,41900.48,5237.56,0
2024-02-08,NB-BAT-ROB-040,1,8406.97,8406.97,0
2024-02-09,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-02-09,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-02-09,NB-BED-DUV-016,4,3894.24,973.56,0
2024-02-09,NB-BED-PIL-020,9,33388.29,3709.81,1
2024-02-09,NB-BED-PIL-021,7,52340.54,7477.22,0
2024-02-09,NB-KIT-CUT-029,5,11108.8,2221.76,0
2024-02-09,NB-BAT-TOW-033,5,26187.8,5237.56,0
2024-02-09,NB-BAT-ROB-040,7,58848.79,8406.97,0
2024-02-10,NB-HOM-WAL-005,7,44340.24,6334.32,1
2024-02-10,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-02-10,NB-BED-DUV-016,2,1947.12,973.56,0
2024-02-10,NB-BED-PIL-020,7,36441.72,5205.96,0
2024-02-10,NB-BED-PIL-021,2,14954.44,7477.22,0
2024-02-10,NB-KIT-GLA-028,14,118244.42,8446.03,0
2024-02-10,NB-KIT-CUT-029,6,13330.56,2221.76,0
2024-02-10,NB-BAT-TOW-033,5,26187.8,5237.56,0
2024-02-10,NB-BAT-ROB-040,3,25220.91,8406.97,0
2024-02-11,NB-HOM-WAL-005,10,70787.4,7078.74,0
2024-02-11,NB-HOM-CAN-009,4,17614.76,4403.69,0
2024-02-11,NB-BED-DUV-016,9,8762.04,973.56,0
2024-02-11,NB-BED-PIL-020,9,46853.64,5205.96,0
2024-02-11,NB-BED-PIL-021,5,37386.1,7477.22,0
2024-02-11,NB-KIT-GLA-028,25,189524.25,7580.97,1
2024-02-11,NB-KIT-CUT-029,4,8887.04,2221.76,0
2024-02-11,NB-BAT-TOW-033,4,20950.24,5237.56,0
2024-02-11,NB-BAT-ROB-040,7,58848.79,8406.97,0
2024-02-12,NB-HOM-WAL-005,10,70787.4,7078.74,0
2024-02-12,NB-HOM-CAN-009,4,17614.76,4403.69,0
2024-02-12,NB-BED-DUV-016,13,12656.28,973.56,0
2024-02-12,NB-BED-PIL-020,6,31235.76,5205.96,0
2024-02-12,NB-BED-PIL-021,10,74772.2,7477.22,0
2024-02-12,NB-KIT-GLA-028,0,0.0,8446.03,0
2024-02-12,NB-KIT-CUT-029,7,15552.32,2221.76,0
2024-02-12,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-02-12,NB-BAT-ROB-040,3,25220.91,8406.97,0
2024-02-13,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-02-13,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-02-13,NB-BED-DUV-016,2,1947.12,973.56,0
2024-02-13,NB-BED-PIL-020,5,26029.8,5205.96,0
2024-02-13,NB-BED-PIL-021,7,52340.54,7477.22,0
2024-02-13,NB-KIT-GLA-028,8,67568.24,8446.03,0
2024-02-13,NB-KIT-CUT-029,3,6665.28,2221.76,0
2024-02-13,NB-BAT-TOW-033,0,0.0,5237.56,0
2024-02-13,NB-BAT-ROB-040,3,25220.91,8406.97,0
2024-02-14,NB-HOM-WAL-005,6,42472.44,7078.74,0
2024-02-14,NB-HOM-CAN-009,5,22018.45,4403.69,0
2024-02-14,NB-BED-DUV-016,3,2920.68,973.56,0
2024-02-14,NB-BED-PIL-020,2,10411.92,5205.96,0
2024-02-14,NB-BED-PIL-021,3,22431.66,7477.22,0
2024-02-14,NB-BED-BLA-024,4,3940.48,985.12,1
2024-02-14,NB-KIT-GLA-028,8,67568.24,8446.03,0
2024-02-14,NB-KIT-CUT-029,5,11108.8,2221.76,0
2024-02-14,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-02-14,NB-BAT-ROB-040,3,25220.91,8406.97,0
2024-02-15,NB-HOM-WAL-005,6,42472.44,7078.74,0
2024-02-15,NB-HOM-CAN-009,2,8807.38,4403.69,0
2024-02-15,NB-BED-DUV-016,5,3615.55,723.11,1
2024-02-15,NB-BED-PIL-020,6,31235.76,5205.96,0
2024-02-15,NB-BED-PIL-021,9,67294.98,7477.22,0
2024-02-15,NB-BED-BLA-024,10,13706.7,1370.67,0
2024-02-15,NB-KIT-GLA-028,2,16892.06,8446.03,0
2024-02-15,NB-KIT-CUT-029,9,19995.84,2221.76,0
2024-02-15,NB-BAT-TOW-033,5,26187.8,5237.56,0
2024-02-15,NB-BAT-ROB-040,4,33627.88,8406.97,0
2024-02-16,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-02-16,NB-HOM-CAN-009,4,17614.76,4403.69,0
2024-02-16,NB-BED-DUV-016,9,8762.04,973.56,0
2024-02-16,NB-BED-PIL-020,0,0.0,5205.96,0
2024-02-16,NB-BED-PIL-021,4,29908.88,7477.22,0
2024-02-16,NB-BED-BLA-024,0,0.0,1370.67,0
2024-02-16,NB-KIT-GLA-028,9,76014.27,8446.03,0
2024-02-16,NB-KIT-CUT-029,5,11108.8,2221.76,0
2024-02-16,NB-BAT-TOW-033,14,55142.5,3938.75,1
2024-02-16,NB-BAT-ROB-040,5,42034.85,8406.97,0
2024-02-17,NB-HOM-WAL-005,2,14157.48,7078.74,0
2024-02-17,NB-HOM-CAN-009,1,4403.69,4403.69,0
2024-02-17,NB-BED-DUV-016,2,1947.12,973.56,0
2024-02-17,NB-BED-PIL-020,7,36441.72,5205.96,0
2024-02-17,NB-BED-PIL-021,14,104681.08,7477.22,0
2024-02-17,NB-BED-BLA-024,9,9051.3,1005.7,1
2024-02-17,NB-KIT-GLA-028,13,109798.39,8446.03,0
2024-02-17,NB-KIT-CUT-029,2,4443.52,2221.76,0
2024-02-17,NB-BAT-TOW-033,8,41900.48,5237.56,0
2024-02-17,NB-BAT-ROB-040,8,58646.72,7330.84,1
2024-02-18,NB-HOM-WAL-005,3,18182.16,6060.72,1
2024-02-18,NB-HOM-CAN-008,4,16268.64,4067.16,0
2024-02-18,NB-HOM-CAN-009,7,30825.83,4403.69,0
2024-02-18,NB-BED-DUV-016,8,7788.48,973.56,0
2024-02-18,NB-BED-PIL-020,2,10411.92,5205.96,0
2024-02-18,NB-BED-PIL-021,4,29908.88,7477.22,0
2024-02-18,NB-BED-BLA-024,24,27272.4,1136.35,1
2024-02-18,NB-KIT-GLA-028,6,50676.18,8446.03,0
2024-02-18,NB-KIT-CUT-029,1,2221.76,2221.76,0
2024-02-18,NB-BAT-TOW-033,7,29902.04,4271.72,1
2024-02-18,NB-BAT-ROB-040,12,100883.64,8406.97,0
2024-02-19,NB-HOM-WAL-005,5,35393.7,7078.74,0
2024-02-19,NB-HOM-CAN-008,1,4067.16,4067.16,0
2024-02-19,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-02-19,NB-BED-DUV-016,5,4867.8,973.56,0
2024-02-19,NB-BED-PIL-020,2,10411.92,5205.96,0
2024-02-19,NB-BED-PIL-021,6,40099.26,6683.21,1
2024-02-19,NB-BED-BLA-024,7,9594.69,1370.67,0
2024-02-19,NB-KIT-GLA-028,6,50676.18,8446.03,0
2024-02-19,NB-KIT-CUT-029,0,0.0,2221.76,0
2024-02-19,NB-BAT-TOW-033,4,20950.24,5237.56,0
2024-02-19,NB-BAT-ROB-040,8,67255.76,8406.97,0
2024-02-20,NB-HOM-WAL-005,11,62673.71,5697.61,1
2024-02-20,NB-HOM-CAN-008,8,32537.28,4067.16,0
2024-02-20,NB-HOM-CAN-009,5,22018.45,4403.69,0
2024-02-20,NB-HOM-CUS-010,8,33202.88,4150.36,0
2024-02-20,NB-BED-DUV-016,5,4867.8,973.56,0
2024-02-20,NB-BED-PIL-020,5,26029.8,5205.96,0
2024-02-20,NB-BED-PIL-021,4,29908.88,7477.22,0
2024-02-20,NB-BED-BLA-024,3,4112.01,1370.67,0
2024-02-20,NB-KIT-GLA-028,7,59122.21,8446.03,0
2024-02-20,NB-KIT-CUT-029,1,2221.76,2221.76,0
2024-02-20,NB-BAT-TOW-033,5,21742.05,4348.41,1
2024-02-20,NB-BAT-ROB-040,17,114317.01,6724.53,1
2024-02-21,NB-HOM-WAL-005,8,46404.0,5800.5,1
2024-02-21,NB-HOM-CAN-008,9,36604.44,4067.16,0
2024-02-21,NB-HOM-CAN-009,5,22018.45,4403.69,0
2024-02-21,NB-HOM-CUS-010,2,8300.72,4150.36,0
2024-02-21,NB-BED-DUV-016,1,973.56,973.56,0
2024-02-21,NB-BED-PIL-020,2,8306.36,4153.18,1
2024-02-21,NB-BED-PIL-021,0,0.0,7477.22,0
2024-02-21,NB-BED-BLA-024,1,1370.67,1370.67,0
2024-02-21,NB-KIT-GLA-028,9,76014.27,8446.03,0
2024-02-21,NB-KIT-CUT-029,1,2221.76,2221.76,0
2024-02-21,NB-BAT-TOW-033,9,47138.04,5237.56,0
2024-02-21,NB-BAT-ROB-040,6,50441.82,8406.97,0
2024-02-22,NB-HOM-WAL-005,6,42472.44,7078.74,0
2024-02-22,NB-HOM-CAN-008,5,20335.8,4067.16,0
2024-02-22,NB-HOM-CAN-009,4,17614.76,4403.69,0
2024-02-22,NB-HOM-CUS-010,3,9921.36,3307.12,1
2024-02-22,NB-BED-DUV-016,7,5963.93,851.99,1
2024-02-22,NB-BED-PIL-020,4,20823.84,5205.96,0
2024-02-22,NB-BED-PIL-021,9,50199.93,5577.77,1
2024-02-22,NB-BED-BLA-024,14,16144.8,1153.2,1
2024-02-22,NB-KIT-GLA-028,0,0.0,8446.03,0
2024-02-22,NB-KIT-CUT-029,8,17774.08,2221.76,0
2024-02-22,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-02-22,NB-BAT-ROB-040,7,58848.79,8406.97,0
2024-02-23,NB-HOM-WAL-005,7,49551.18,7078.74,0
2024-02-23,NB-HOM-CAN-008,6,24402.96,4067.16,0
2024-02-23,NB-HOM-CAN-009,4,17614.76,4403.69,0
2024-02-23,NB-HOM-CUS-010,2,8300.72,4150.36,0
2024-02-23,NB-BED-DUV-016,1,973.56,973.56,0
2024-02-23,NB-BED-PIL-020,0,0.0,5205.96,0
2024-02-23,NB-BED-PIL-021,13,97203.86,7477.22,0
2024-02-23,NB-BED-BLA-024,13,17818.71,1370.67,0
2024-02-23,NB-KIT-GLA-028,2,16892.06,8446.03,0
2024-02-23,NB-KIT-CUT-029,13,23932.22,1840.94,1
2024-02-23,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-02-23,NB-BAT-ROB-040,7,47303.97,6757.71,1
2024-02-24,NB-HOM-WAL-005,13,92023.62,7078.74,0
2024-02-24,NB-HOM-CAN-008,2,8134.32,4067.16,0
2024-02-24,NB-HOM-CAN-009,1,4403.69,4403.69,0
2024-02-24,NB-HOM-CUS-010,15,62255.4,4150.36,0
2024-02-24,NB-BED-DUV-016,4,3894.24,973.56,0
2024-02-24,NB-BED-PIL-020,12,44469.96,3705.83,1
2024-02-24,NB-BED-PIL-021,6,44863.32,7477.22,0
2024-02-24,NB-BED-BLA-024,0,0.0,1370.67,0
2024-02-24,NB-KIT-GLA-028,1,8446.03,8446.03,0
2024-02-24,NB-KIT-CUT-029,3,4701.57,1567.19,1
2024-02-24,NB-BAT-TOW-033,7,36662.92,5237.56,0
2024-02-24,NB-BAT-ROB-040,14,117697.58,8406.97,0
2024-02-25,NB-HOM-WAL-005,7,49551.18,7078.74,0
2024-02-25,NB-HOM-CAN-008,13,52873.08,4067.16,0
2024-02-25,NB-HOM-CAN-009,6,26422.14,4403.69,0
2024-02-25,NB-HOM-CUS-010,5,20751.8,4150.36,0
2024-02-25,NB-BED-DUV-016,3,2920.68,973.56,0
2024-02-25,NB-BED-PIL-020,10,52059.6,5205.96,0
2024-02-25,NB-BED-PIL-021,3,22431.66,7477.22,0
2024-02-25,NB-BED-BLA-024,4,5482.68,1370.67,0
2024-02-25,NB-KIT-GLA-028,1,8446.03,8446.03,0
2024-02-25,NB-KIT-CUT-029,4,8887.04,2221.76,0
2024-02-25,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-02-25,NB-BAT-ROB-040,11,92476.67,8406.97,0
2024-02-26,NB-HOM-WAL-005,2,14157.48,7078.74,0
2024-02-26,NB-HOM-CAN-008,5,20335.8,4067.16,0
2024-02-26,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-02-26,NB-HOM-CUS-010,5,14727.85,2945.57,1
2024-02-26,NB-BED-DUV-016,4,3894.24,973.56,0
2024-02-26,NB-BED-PIL-020,8,41647.68,5205.96,0
2024-02-26,NB-BED-PIL-021,0,0.0,7477.22,0
2024-02-26,NB-BED-BLA-024,4,5482.68,1370.67,0
2024-02-26,NB-KIT-GLA-028,2,16892.06,8446.03,0
2024-02-26,NB-KIT-CUT-029,15,25005.6,1667.04,1
2024-02-26,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-02-26,NB-BAT-ROB-040,4,33627.88,8406.97,0
2024-02-27,NB-HOM-WAL-005,1,7078.74,7078.74,0
2024-02-27,NB-HOM-CAN-007,15,50218.05,3347.87,1
2024-02-27,NB-HOM-CAN-008,22,63502.34,2886.47,1
2024-02-27,NB-HOM-CAN-009,6,26422.14,4403.69,0
2024-02-27,NB-HOM-CUS-010,5,20751.8,4150.36,0
2024-02-27,NB-BED-DUV-016,6,5841.36,973.56,0
2024-02-27,NB-BED-PIL-020,0,0.0,5205.96,0
2024-02-27,NB-BED-PIL-021,2,14954.44,7477.22,0
2024-02-27,NB-BED-BLA-024,3,4112.01,1370.67,0
2024-02-27,NB-KIT-GLA-028,14,102029.62,7287.83,1
2024-02-27,NB-KIT-CUT-029,3,6665.28,2221.76,0
2024-02-27,NB-BAT-TOW-033,9,47138.04,5237.56,0
2024-02-27,NB-BAT-ROB-040,9,75662.73,8406.97,0
2024-02-28,NB-HOM-WAL-005,2,14157.48,7078.74,0
2024-02-28,NB-HOM-CAN-007,2,8284.64,4142.32,0
2024-02-28,NB-HOM-CAN-008,0,0.0,4067.16,0
2024-02-28,NB-HOM-CAN-009,5,22018.45,4403.69,0
2024-02-28,NB-HOM-CUS-010,1,4150.36,4150.36,0
2024-02-28,NB-BED-DUV-016,11,10709.16,973.56,0
2024-02-28,NB-BED-PIL-020,1,5205.96,5205.96,0
2024-02-28,NB-BED-PIL-021,2,14954.44,7477.22,0
2024-02-28,NB-BED-BLA-024,2,2741.34,1370.67,0
2024-02-28,NB-KIT-GLA-028,2,16892.06,8446.03,0
2024-02-28,NB-KIT-CUT-029,0,0.0,2221.76,0
2024-02-28,NB-BAT-TOW-033,7,36662.92,5237.56,0
2024-02-28,NB-BAT-ROB-040,6,50441.82,8406.97,0
2024-02-29,NB-HOM-WAL-005,3,21236.22,7078.74,0
2024-02-29,NB-HOM-CAN-007,15,51255.45,3417.03,1
2024-02-29,NB-HOM-CAN-008,1,4067.16,4067.16,0
2024-02-29,NB-HOM-CAN-009,3,13211.07,4403.69,0
